Configure,Configure
Close,Close
"Guest checkout is disabled.","Guest checkout is disabled."
Checkout,Checkout
"Failed to save order with purchase ID ""%purchase_id""","Failed to save order with purchase ID ""%purchase_id"""
"Failed to save Avarda order. Please try again later.","Failed to save Avarda order. Please try again later."
"Missing purchase ID ""%purchase_id""","Missing purchase ID ""%purchase_id"""
"Authentication with avarda responded with invalid response","Authentication with avarda responded with invalid response"
"Authentication error, check avarda credentials","Authentication error, check avarda credentials"
"Something went wrong with Avarda Checkout. Please try again later.","Something went wrong with Avarda Checkout. Please try again later."
"Failed to authorize Avarda Checkout.","Failed to authorize Avarda Checkout."
errorMessage,errorMessage
"Could not generate items for Avarda checkout.","Could not generate items for Avarda checkout."
"No purchase ID returned from Avarda","No purchase ID returned from Avarda"
"Could not find quote with given ID.","Could not find quote with given ID."
"Status is not Completed","Status is not Completed"
"Payment status is not Completed","Payment status is not Completed"
"Payment has been accepted.","Payment has been accepted."
"No cart linked with purchase ID ""%purchase_id""","No cart linked with purchase ID ""%purchase_id"""
"Gift Card","Gift Card"
giftcard,giftcard
"Avarda is processing the purchase, unable to update items.","Avarda is processing the purchase, unable to update items."
Loading...,Loading...
"Email Address","Email Address"
"Zip/Postal Code","Zip/Postal Code"
"You have already an account. Log in.","You have already an account. Log in."
Password,Password
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"Sign In or Sign Up","Sign In or Sign Up"
"Sign In","Sign In"
Register,Register
or,or
"* Required Fields","* Required Fields"
Continue,Continue
Email,Email
"You are logged in.","You are logged in."
"Continue as guest","Continue as guest"
Next,Next
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"1. Select payment","1. Select payment"
"3. Select payment","3. Select payment"
"2. Select payment","2. Select payment"
"1. Zip/Postal Code and Email","1. Zip/Postal Code and Email"
"2. Shipping Methods","2. Shipping Methods"
"1. Shipping Methods","1. Shipping Methods"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"Something went wrong with your request.","Something went wrong with your request."
"Missing shipping method. Please select the shipping method and try again.","Missing shipping method. Please select the shipping method and try again."
"Missing shipping method!","Missing shipping method!"
"Avarda Checkout Configuration","Avarda Checkout Configuration"
"Enable Avarda Checkout","Enable Avarda Checkout"
"Test Mode (Stage)","Test Mode (Stage)"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Alternative Api Configuration","Alternative Api Configuration"
"Alternative api credentials for selected product types. If a selected product type is in the customer's cart then checkout will use the alternative api credentials","Alternative api credentials for selected product types. If a selected product type is in the customer's cart then checkout will use the alternative api credentials"
"Product Type","Product Type"
"If a selected product type is in the customer's cart then checkout will use the alternative api credentials","If a selected product type is in the customer's cart then checkout will use the alternative api credentials"
"Redirect Onepage to Avarda Checkout","Redirect Onepage to Avarda Checkout"
Title,Title
Instructions,Instructions
"Custom Css","Custom Css"
"Show Country Selector","Show Country Selector"
"Show B2B Link","Show B2B Link"
"Show Postal Code","Show Postal Code"
"Show Postal Code before loading shipping methods","Show Postal Code before loading shipping methods"
"Offer Login","Offer Login"
"Offer login and check if email has account on checkout","Offer login and check if email has account on checkout"
"Show Newsletter Subscription","Show Newsletter Subscription"
"Newsletter Selected by Default","Newsletter Selected by Default"
"Debug Logging","Debug Logging"
"Should not be enabled in production. Sensitive information is logged.","Should not be enabled in production. Sensitive information is logged."
"Avarda Method Titles","Avarda Method Titles"
"Invoice Title","Invoice Title"
"Loan Title","Loan Title"
"Card Title","Card Title"
"DirectPayment Title","DirectPayment Title"
"PartPayment Title","PartPayment Title"
"Swish Title","Swish Title"
"HighAmountLoan Title","HighAmountLoan Title"
"Paypal Title","Paypal Title"
"PayOnDelivery Title","PayOnDelivery Title"
"B2bInvoice Title","B2bInvoice Title"
"DirectInvoice Title","DirectInvoice Title"
"Masterpass Title","Masterpass Title"
"MobilePay Title","MobilePay Title"
"Vipps Title","Vipps Title"
"ZeroAmount Title","ZeroAmount Title"
