"Invalid request","Virheellinen kysely"
"No order for processing found","No order for processing found"
"Order canceled. %1.","Tilaus peruttu. %1."
"Authorization has been completed","Authorization has been completed"
"Something went wrong with Avarda checkout. Please try again later.","Jotain meni vikaan. Ole hyvä ja yritä uudestaan."
"Gift Card","Lahjakortti"
Terms,Ehdot
"Social Security Number","Henkilötunnus"
"For personal customers only","Vain henkilöasiakkaille"
"Avarda API Configuration","Avarda API Asetukset"
"Enable Avarda Integration","Aktivoi Avarda Integraatio"
"Test Mode (Stage)","Testi tila (Stage)"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Avarda Invoice","Avarda Lasku"
"Enable Avarda Invoice","Aktivoi Avarda Lasku"
Title,Nimi
"Upload Image","Lisää kuva"
Instructions,"Kuvaus teksti"
"Terms Text","Ehto teksti"
"Terms Link","Linkki ehtoihin"
"New Order Status","Uuden tilauksen status"
"Create Invoice on Place Order","Lisää lasku kun tilaus luodaan"
"Avarda Direct Invoice","Avarda Direct Invoice"
"Enable Avarda Direct Invoice","Enable Avarda Direct Invoice"
"Avarda Loan","Avarda Loan"
"Enable Avarda Loan","Enable Avarda Loan"
"Avarda PartPayment","Avarda PartPayment"
"Enable Avarda PartPayment","Enable Avarda PartPayment"
"Phone is not a valid phone number.","Puhelinnumero on virheellinen."
"Identification Number is invalid.","Henkilötunnus on virheellinen."
"1. Postcode","1. Anna postinumero"
"1. Shipping Methods","1. Valitse toimitustapa"
"2. Shipping Methods","2. Valitse toimitustapa"
"1. Select payment","1. Valitse maksutapa"
"2. Select payment","2. Valitse maksutapa"
"3. Select payment","3. Valitse maksutapa"
"Postalcode","Postinumero"
"Missing shipping method. Please select the shipping method and try again.","Toimitustapa puuttuu. Ole hyvä ja valitse toimitustapa ja yritä uudelleen"
"Order already saved","Tilaus on jo tallennettu"
"1. Zip/Postal Code and Email","1. Postinumero ja sähköpostiosoite"
"Continue as guest","Jatka kirjautumatta"
"You have already an account. Log in.","Sinulla on jo asiakastili. Osta kirjautuneena."
"You are logged in.","Olet kirjautuneena."
"Sign In or Sign Up","Kirjaudu sisään tai luo tili"
"Register","Luo tili"
"Something went wrong with your request.","Jotain meni pieleen."
